SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-41_MJ,4100,1,t1songcompare.jpg,4
Subject2017-41_MJ,4100,2,t1gamecompare.jpg,4
Subject2017-41_MJ,4100,3,t2songcompare.jpg,4
Subject2017-41_MJ,4100,4,t3songcompare.jpg,NA
Subject2017-41_MJ,4100,5,t2gamecompare.jpg,1
Subject2017-41_MJ,4100,6,t4songcompare.jpg,1
Subject2017-41_MJ,4100,7,t3gamecompare.jpg,4
Subject2017-41_MJ,4100,8,t4gamecompare.jpg,4
Subject2017-41_MJ,4100,9,t5songcompare.jpg,1
Subject2017-41_MJ,4100,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,4100,,,
SessionDate:,4/24/2017,,,
SessionTime:,16:34:05,,,
RandomSeed: ,-374976334,,,
Group:,1,,,
